wordform	weight
basketball	0.693147
kuchen	1.098612
nächste	0.693147
kochst	0.693147
lege	0.693147
geben	0.693147
tüte	0.693147
station	0.693147
vorbeischauen	0.693147
setzen	0.693147
einzelkind	1.098612
öffe	0.693147
gib	0.693147
nehmen	1.386294
wahr	1.386294
ganze	0.693147
papierwaren	0.693147
taschenwörterbüchern	0.693147
schreibt	0.693147
schlecht	1.098612
bücher	1.609438
hui	2.995732
tee	1.386294
fasching.Eine	0.693147
sachen	1.386294
vorspeise	0.693147
austragen	0.693147
schon	2.639057
kein	1.945910
bücherregal	1.098612
mehr.Du	0.693147
bei	1.945910
direkt	1.098612
abendessen.Am	0.693147
was	2.302585
turm.Wir	0.693147
endstation	0.693147
suchst	0.693147
beilagen	1.609438
dank	1.098612
schreibübungen	0.693147
geht	1.386294
günstiges	0.693147
ungefähr	0.693147
laufen	0.693147
meist	0.693147
woche	1.609438
freut	1.098612
rad	0.693147
alles	1.386294
uni.Meine	0.693147
mensch	0.693147
reise	0.693147
pro	0.693147
dass	1.791759
aufgewachsen	0.693147
verpassen.Worum	0.693147
julias	1.098612
manchmal	0.693147
dreitägiges	0.693147
vergleiche	0.693147
preise	0.693147
fotoabend	1.386294
verloren	0.693147
jahr	0.693147
schreibe	0.693147
also	1.791759
putzplan	1.098612
klasse	0.693147
hauptspeisen	1.098612
jedesmal	0.693147
wahrig	1.098612
zurück	1.098612
esst	0.693147
mitbewohner	1.098612
mit	2.484907
normalerwerise	0.693147
hellen	0.693147
kleiderhaken	0.693147
rucksack	0.693147
wohnung	1.098612
kassierer	1.098612
einladen	0.693147
zurückgeben	0.693147
ungünstig	0.693147
stuhl	0.693147
sterne	0.693147
gilt	0.693147
seht	0.693147
nämlich	0.693147
aufführung	0.693147
schlank	1.098612
schule	0.693147
meine	2.484907
lucas1993	0.693147
seminarraum	0.693147
diesen	0.693147
gibt	1.945910
inlandsversandkosten	0.693147
denn	1.791759
gemütlich	1.098612
sprechen	1.098612
montags	0.693147
leider	1.386294
hunger	1.098612
passt	0.693147
tage	0.693147
ansehen	0.693147
braucht	1.098612
durchsage	0.693147
müsli	1.386294
musikhochschule	0.693147
südchina	0.693147
gut.Wie	0.693147
sagt	0.693147
nachrichten	0.693147
dick	0.693147
äpfel	1.098612
zwei	1.791759
fährt.Da	0.693147
abend	0.693147
thema	1.098612
überschritten	0.693147
cousine	1.386294
messegelände	1.098612
rollschrank	1.098612
eben.Dann	0.693147
kommst	1.098612
klein	0.693147
mein	1.945910
deine	2.484907
da	2.302585
amazon	0.693147
suchinformationen	0.693147
studentenwohnheim	1.098612
etwa	0.693147
koche	0.693147
weißt	0.693147
platz	1.386294
lieblingsspeise	0.693147
zeigen	1.098612
viel	1.791759
konzert	1.098612
reis	1.098612
hörübungen	0.693147
vielen	0.693147
grau	0.693147
brauchst	1.098612
bad	0.693147
rund	0.693147
hauptbahnhof	1.386294
nordwesterchina	0.693147
keinen	1.386294
wechseln	0.693147
weit	0.693147
schreibtisch	1.098612
ist:523816	0.693147
großes	1.098612
nur	2.484907
freien	0.693147
bessere	0.693147
nun	1.098612
hilfe	1.609438
machst	1.098612
dialogübungen	0.693147
freitag	1.386294
sport	0.693147
gebrauchte	1.098612
einfach	1.386294
nachbar	0.693147
fangen	0.693147
sehr	2.890372
eingnes	0.693147
euro.Das	0.693147
dann	2.564949
weiter	0.693147
staub	1.098612
bier	1.098612
breit.Julia	0.693147
sonst	1.098612
bruno	1.098612
dein	0.693147
direkten	1.098612
haare	1.098612
jeden	1.945910
diese	0.693147
wolche.Manchmal	0.693147
mischsalat	1.386294
aussprache	1.098612
spare	0.693147
online	1.098612
kartoffelsalat.Ihr	0.693147
jedes	0.693147
minuten.Mit	0.693147
hammelbraten	0.693147
ja	3.044522
wG	1.791759
nummer	0.693147
uns	1.609438
restaurant	0.693147
schau	1.609438
finde	1.609438
vollen	0.693147
kommen	1.098612
besucht	0.693147
abendvorlesung	0.693147
schnell	0.693147
möchte	1.609438
uni	1.098612
stimmt	1.386294
gerne	1.098612
studiere	1.386294
tun	1.386294
studiert	0.693147
duden	1.386294
trambahn	0.693147
danke.Ah	0.693147
treffen	1.098612
exemplare	0.693147
nudeln	1.945910
buslinie	0.693147
gleich	1.386294
mensa	1.098612
frist	1.098612
oder	2.708050
cent	0.693147
übermorgen	0.693147
arbeit	0.693147
veröffentliche	0.693147
glück	0.693147
beispiel	1.098612
dame	0.693147
viele	1.791759
plan.Diese	0.693147
stationen	1.098612
gar	0.693147
kartoffeln	0.693147
hmm	0.693147
außerdem	0.693147
heute	1.098612
ins	1.098612
küche	1.098612
gleis	1.098612
eis	0.693147
fremdsprache	0.693147
wissen	0.693147
schubladen	0.693147
möchten	0.693147
fenster	1.098612
studierst	0.693147
umsteigen	0.693147
bin	1.098612
angebot	0.693147
kostenlos	0.693147
kurzsichtig	0.693147
brot	0.693147
von	2.302585
freund	1.386294
kohl	0.693147
lust	1.098612
im	2.564949
diensttag	0.693147
